"企業名","週開始日","合計GPU使用時間(h)","GPU稼働率(%)","平均GPUパフォーマンス率(%)","最大GPUパフォーマンス率(%)","平均GPUメモリ利用率(%)","最大GPUメモリ利用率(%)","n_runs","assigned_gpu_node","assigned_gpu_hour","_total_gpu_hour","total_metrics_hour"
"airion-geniac","2025-09-14","229.7","4.3","68.5","100","8.2","100","8","28","5376","229.70000000000002","16.883333333333333"
"airion-geniac","2025-09-07","106.1","2","83.2","100","10.1","59","8","28","5376","106.10000000000001","6.999999999999999"
"airion-geniac","2025-08-31","39.8","0.7","47.8","100","3.2","36","8","28","5376","39.8","11.216666666666665"
"airion-geniac","2025-08-24","0.3","0","20.7","100","0.1","3","2","28","5376","0.3","0.0166666666666666"
"airion-geniac","2025-08-17","0","0","0","0","0","0","1","28","5376","0","0"
"airion-geniac","2025-08-10","0","0","0","0","0","0","1","12","2304","0","0"
